Label;Area_px
NC;147594
NC;6360
NC;4780
NC;3212
NC;91580
NC;229012
NC;153456
NC;45818
NC;23236
NC;5740
NC;9852
NC;86288
NC;16636
NC;18135
NC;9152
NC;97592
NC;55380
NC;35288
NC;33340
NC;49477
NC;32836
NC;25177
NC;67368
NC;11796
NC;27768
NC;43938
NC;16220
NC;9500
NC;69494
NC;76452
NC;23236
NC;10212
NC;47512
NC;57940
NC;20612
NC;46567
NC;50249
NC;7548
NC;26596
NC;12016
NC;9480
NC;17200
NC;13692
NC;10212
NC;92397
NC;35284
NC;18030
NC;8172
NC;5020
NC;21108
NC;3212
NC;3016
NC;2264
NC;30788
NC;6944
NC;3620
NC;18030
NC;12864
NC;4048
NC;8172
NC;7548
NC;6636
NC;16292
NC;7232
NC;18148
NC;9820
NC;27334
NC;8172
NC;8492
NC;3856
NC;6084
NC;1768
NC;28360
NC;1008
NC;1664
NC;4284
NC;7220
NC;1264
NC;4048
NC;4492
NC;6092
NC;1804
NC;1020
NC;1528
NC;6944
NC;9152
NC;3356
NC;1940
NC;2644
NC;31580
NC;2292
NC;1528
NC;3412
NC;7548
NC;5544
NC;3816
NC;2812
NC;2452
NC;1796
NC;3228
NC;1664
NC;1380
NC;2264
NC;10082
NC;34664
NC;6866
NC;2116
NC;2292
NC;5020
NC;85282
NC;8816
NC;7188
NC;1664
NC;2472
NC;22420
NC;18624
NC;3856
NC;5020
NC;12864
NC;2472
NC;3596
NC;32648
NC;4304
NC;2644
NC;14100
NC;4284
NC;27184
NC;3016
NC;4220
NC;2988
NC;3856
NC;31372
NC;7188
NC;22712
NC;3640
NC;3016
NC;1968
NC;5272
NC;20612
NC;23236
NC;11081
NC;1528
NC;6944
NC;6608
NC;11869
NC;1380
NC;2292
NC;40108
NC;6084
NC;4284
NC;3856
NC;7548
NC;9852
NC;4304
NC;8172
NC;37716
NC;7188
NC;101727
NC;17676
NC;2264
NC;4304
NC;3212
NC;14956
NC;66964
NC;4304
NC;24864
NC;5812
NC;7548
NC;5272
NC;2828
NC;7548
NC;8809
NC;2828
NC;1516
NC;3412
NC;3228
NC;2812
NC;2812
NC;1796
NC;1132
NC;24220
NC;10212
NC;7232
NC;8492
NC;2472
NC;2352
NC;1528
NC;25318
NC;14412
NC;3412
NC;4284
NC;2292
NC;1804
NC;7548
NC;18152
NC;3446
NC;22684
NC;12064
NC;14964
NC;4528
NC;3856
NC;13272
NC;4528
NC;3228
NC;10916
NC;12016
NC;4060
NC;4060
NC;32336
NC;2116
NC;25870
NC;2308
NC;70257
NC;2644
NC;4304
NC;2264
NC;6944
NC;7840
NC;7840
NC;6636
NC;2452
NC;4060
NC;3228
NC;11304
NC;17392
NC;3620
NC;4304
NC;3176
NC;7897
NC;58254
NC;1968
NC;4528
NC;3760
NC;7860
NC;16292
NC;16292
NC;3016
NC;4528
NC;30172
NC;4060
NC;6924
NC;4048
NC;5464
NC;6944
NC;4968
NC;6092
NC;7548
60_40;6742
60_40;4838
60_40;19116
60_40;5020
60_40;41909
60_40;194408
60_40;66988
60_40;65140
60_40;43818
60_40;94288
60_40;102896
60_40;6704
60_40;62925
60_40;7372
60_40;5610
60_40;1007378
60_40;213632
60_40;69046
60_40;148972
60_40;94024
60_40;78432
60_40;14956
60_40;5028
60_40;4068
60_40;99232
60_40;26596
60_40;10944
60_40;6668
60_40;48838
60_40;7232
60_40;11684
60_40;211960
60_40;497660
60_40;177200
60_40;440528
60_40;122114
60_40;33300
60_40;6444
60_40;5544
60_40;258752
60_40;268809
60_40;331848
60_40;134940
60_40;27184
60_40;64244
60_40;22172
60_40;8940
60_40;8176
60_40;119448
60_40;33964
60_40;66960
60_40;100306
60_40;33984
60_40;84009
60_40;290356
60_40;31420
60_40;11704
60_40;61556
60_40;255594
60_40;119444
60_40;45244
60_40;136557
60_40;10580
60_40;53084
60_40;516613
60_40;26024
60_40;12096
60_40;121594
60_40;121594
60_40;482667
60_40;61516
60_40;27740
60_40;58112
60_40;36624
60_40;62224
60_40;9152
60_40;10212
60_40;4574
60_40;140544
60_40;6944
60_40;6668
60_40;379892
60_40;12472
60_40;2812
60_40;20100
60_40;19116
60_40;5272
60_40;3620
60_40;6636
60_40;112172
60_40;17676
60_40;6636
60_40;5532
60_40;5768
60_40;5532
60_40;14956
60_40;8816
60_40;8816
60_40;5272
60_40;2624
60_40;2644
60_40;4304
60_40;3228
60_40;2644
60_40;13766
60_40;22684
60_40;32036
60_40;35316
60_40;18624
60_40;7188
60_40;4548
60_40;10528
60_40;9176
60_40;10124
60_40;286344
60_40;4780
60_40;6336
60_40;10184
60_40;5264
60_40;15836
60_40;4304
60_40;7860
60_40;4780
60_40;10944
60_40;8816
60_40;5024
60_40;2472
60_40;12064
60_40;7404
60_40;5492
60_40;5020
60_40;14520
60_40;486424
60_40;47512
60_40;190120
60_40;202286
60_40;13684
60_40;195565
60_40;16268
60_40;17196
60_40;7840
60_40;5272
60_40;517655
60_40;387044
60_40;545686
60_40;723768
60_40;45394
60_40;23780
60_40;9500
60_40;8172
60_40;3228
60_40;3856
60_40;10944
60_40;3412
60_40;9176
60_40;28900
60_40;12096
60_40;7232
60_40;2128
60_40;4048
60_40;11704
60_40;2644
60_40;3412
60_40;18108
60_40;7860
60_40;39424
60_40;3412
60_40;5812
60_40;4528
60_40;5020
60_40;682180
60_40;166180
60_40;205892
60_40;104002
60_40;62009
60_40;17200
60_40;581380
60_40;6084
60_40;5532
60_40;8800
60_40;3856
60_40;553984
60_40;41912
60_40;14924
60_40;5544
60_40;33300
60_40;21108
60_40;3016
60_40;13580
60_40;785456
60_40;222304
60_40;40300
60_40;13640
60_40;18168
60_40;23236
60_40;17676
60_40;8148
60_40;2812
60_40;5020
60_40;4756
60_40;5372
60_40;4780
60_40;538460
60_40;22684
60_40;17200
60_40;5272
60_40;38024
60_40;12824
60_40;57102
60_40;538416
60_40;179404
60_40;13272
60_40;115820
60_40;79395
60_40;13016
60_40;14956
60_40;11304
60_40;13692
60_40;15380
60_40;9500
60_40;26024
60_40;6668
60_40;24280
60_40;42272
60_40;502636
60_40;179444
60_40;40832
60_40;22120
60_40;38024
60_40;41912
60_40;37336
60_40;5020
60_40;17676
60_40;14956
60_40;9500
60_40;11304
60_40;5544
60_40;12064
60_40;9852
60_40;13272
60_40;234210
60_40;45192
60_40;36640
60_40;682128
60_40;100676
60_40;8816
60_40;10006
60_40;19076
60_40;475392
60_40;62037
60_40;12064
60_40;15388
60_40;43728
60_40;100918
60_40;122870
60_40;246296
60_40;152088
60_40;62480
60_40;82463
60_40;29556
60_40;15836
60_40;210608
60_40;75236
60_40;500184
60_40;102896
60_40;189980
60_40;20612
60_40;15836
60_40;4048
60_40;17156
60_40;9152
60_40;10916
60_40;8172
60_40;30156
60_40;19604
60_40;3016
60_40;5532
60_40;14100
60_40;311736
60_40;4048
60_40;7548
60_40;41152
