a_um,b_um
14.23,4.15
10.09,3.56
11.27,6.52
16.46,6.92
17.01,7.32
17.00,6.32
13.24,5.14
12.85,5.93
12.26,6.92
16.42,6.34
8.70,2.77
12.85,6.52
15.12,5.53
14.63,5.04
15.62,7.71
16.77,9.69
13.78,5.53
13.25,6.32
13.44,3.16
24.90,17.16
24.90,6.53
30.61,20.00
32.25,13.06
35.92,18.78
37.14,13.09
31.56,11.43
28.16,10.61
20.82,5.71
32.24,11.43
21.63,4.49
21.63,7.35
27.35,6.58
24.90,9.42
26.53,11.43
25.31,9.39
22.45,7.80
24.90,9.39
21.69,5.71
23.67,9.42
22.45,5.71
28.46,13.10
26.88,11.07
17.50,7.11
34.79,13.83
28.46,9.09
45.85,24.51
29.26,10.31
26.48,9.09
20.16,8.30
18.58,7.11
32.81,13.04
31.35,14.65
35.21,31.48
14.80,8.80
13.00,7.40
13.81,9.20
16.63,7.28
15.21,8.80
18.00,13.82
33.00,22.20
17.20,10.21
15.20,9.60
15.21,8.40
20.40,8.80
26.67,20.25
13.92,8.86
15.81,10.21
20.80,8.81
22.41,14.41
17.00,7.40
17.65,13.00
9.80,6.01
22.87,14.43
15.20,8.40
13.41,7.00
18.03,12.20
15.80,7.80
11.61,6.81
16.90,9.22
12.24,5.40
14.40,8.00
26.42,16.21
17.60,11.63
17.60,8.00
12.00,8.00
18.20,7.81
14.00,6.40
19.00,12.20
18.60,12.00
21.40,13.40
14.00,7.40
18.00,8.40
20.01,14.20
19.40,10.80
13.81,7.00
15.40,9.80
13.01,5.60
10.39,4.90
9.08,5.00
6.99,4.61
12.11,6.06
11.32,4.61
14.34,7.63
11.97,5.13
7.89,3.68
13.69,6.45
11.32,7.64
15.66,8.03
16.59,9.21
16.18,7.63
15.92,8.16
10.27,4.61
12.77,6.06
11.58,6.05
12.78,6.32
21.06,15.00
13.95,6.06
17.37,9.74
19.48,13.03
14.35,8.03
13.42,8.55
13.85,10.00
16.71,8.56
15.27,6.45
15.03,8.82
16.45,11.32
17.38,9.47
15.27,8.03
