a_um,b_um
8.88,5.04
7.86,4.64
6.45,4.03
8.87,4.64
8.06,5.04
8.27,3.83
10.29,5.44
16.33,9.27
6.45,1.81
10.69,6.05
20.56,18.75
11.3,5.65
11.7,7.86
17.74,6.05
10.28,4.64
15.93,9.27
14.8,7
11.6,5.2
13,6
9.6,5
10.8,5.6
12.6,5.6
10.6,5.2
9.8,4.6
13.4,6
13.01,4.6
10.21,5.1
8.51,4.32
11.96,8.76
18.92,11.95
16.14,9.36
13.35,5.99
31.87,24.11
23.12,14.34
21.12,14.74
18.53,11.56
27.09,14.95
20.32,12.15
23.51,12.95
15.74,10.17
16.14,8.37
13.95,8.37
14.17,8.77
21.32,12.35
18.18,10.76
17.93,10.96
29.91,21.72
23.51,15.34
16.93,11.56
23.11,12.95
27.29,17.53
20.32,14.74
18.92,9.36
13.55,7.97
23.51,13.94
17.53,9.16
19.53,11.95
19.72,10.16
19.32,10.16
22.11,11.55
17.13,10.96
20.92,13.94
13.94,9.16
27.29,15.56
27.69,17.53
26.3,13.35
17.13,10.21
18.92,13.74
19.93,11.16
21.73,11.16
16.54,10.16
15.14,8.37
13.58,7.77
20.33,13.35
20.64,12.53
16.47,8.74
14.09,6.94
10.12,5.56
15.08,8.14
17.07,11.51
14.68,8.33
15.67,7.74
26.39,12.1
14.29,8.13
15.69,8.73
11.11,7.34
16.67,9.72
13.7,7.34
17.86,11.11
17.46,9.52
23.02,14.09
18.06,11.11
16.07,10.12
19.86,13.9
14.29,7.34
16.07,7.74
15.28,8.73
19.25,10.52
18.45,11.51
