a_um,b_um,field,V_um3,R_um,D_um,Ss_um2,Sps_um2,sigma_
18.45,6.94,H1,3722.236133488759,9.614021827357648,19.228043654715297,1161.5022933160294,1331.6765284350647,0.14651218176521774
14.69,10.12,H1,6301.898878215915,11.458495721787493,22.916991443574986,1649.9283233749381,1688.3463398473616,0.023284657841280643
13.89,6.94,H1,2802.2688289517005,8.745951450597493,17.491902901194987,961.222633619899,1035.1210084781262,0.07687956179301647
10.92,7.75,H1,2747.3541914908105,8.688444163553728,17.376888327107455,948.6235302111074,967.4123818945483,0.019806436468279065
8.73,5.16,H1,973.6486281203735,6.148528856919829,12.297057713839658,475.06419052969994,496.576266848659,0.045282462344663266
7.94,4.96,H1,818.2244723504587,5.802225701484096,11.604451402968191,423.05720999848694,438.5255575945446,0.03656325251167081
6.35,2.78,H1,205.56630348856172,3.661180206049357,7.322360412098714,168.44265394167576,186.44140923381795,0.10685390470263179
12.1,6.55,H1,2174.485818306262,8.036914042615592,16.073828085231185,811.6868514865614,861.0974352113695,0.060873948659283084
14.68,6.76,H1,2810.011237969779,8.753998794836914,17.507997589673828,962.9923320164663,1054.3558611664157,0.09487461749424098
6.94,3.57,H1,370.4968432300156,4.45552242887993,8.91104485775986,249.46356963339608,267.14218687936204,0.07086652881599464
11.91,6.55,H1,2140.340999671701,7.994625426511904,15.989250853023808,803.1674601941452,849.6810600615717,0.05791270460108411
15.68,9.73,H1,6218.137885682354,11.407502684032309,22.815005368064618,1635.2758507923593,1696.7099296874487,0.037568021851067
12.51,6.75,H1,2387.555438856805,8.291280701656849,16.582561403313697,863.8793660838298,916.9988080510217,0.06148942092226939
14.68,6.75,H1,2801.7037443979134,8.745363530045218,17.490727060090435,961.0934073029066,1052.6054012407565,0.09521654528320789
10.12,5.16,H1,1128.6740110627927,6.458920989033146,12.917841978066292,524.2395810287253,562.3351163324648,0.07266817821917226
7.75,4.17,H1,564.498018438078,5.126936488111999,10.253872976223999,330.3130552213774,350.79938578847964,0.06202095328436896
12.95,7.98,H1,3454.332673051587,9.377603159779408,18.755206319558816,1105.0796075058618,1147.7739629929174,0.03863464242491621
11.95,7.78,H1,3029.8121899251414,8.976541294304576,17.953082588609153,1012.5767009552413,1043.5770030316114,0.030615263068096477
11.95,10.56,H1,5581.929550796588,11.004371595753232,22.008743191506465,1521.7396565245247,1525.7962549062322,0.002665763729238879
12.15,10.76,H1,5892.362133286174,11.204701045232632,22.409402090465264,1577.6490892971879,1581.71018158347,0.0025741416857734123
12.95,8.18,H1,3629.651973798798,9.533640953228616,19.067281906457232,1142.161318515859,1182.0424570167736,0.034917255430026994
14.34,8.96,H1,4822.2950609636655,10.480654155698012,20.961308311396024,1380.3418153079483,1430.7650972695933,0.03652956202764579
13.75,10.59,H1,6459.266863024313,11.553091318494516,23.106182636989033,1677.2827336742678,1696.7952432378315,0.011633405133086638
14.34,6.98,H1,2926.500521765562,8.873330658980485,17.74666131796097,989.4257187870219,1071.0139646194198,0.0824602032100199
17.14,9.36,H1,6290.006936334849,11.451283632778269,22.902567265556538,1647.8520150344375,1745.4455027483089,0.0592246675207857
14.35,7.99,H1,3837.373472679576,9.71214490027034,19.42428980054068,1185.3324405938672,1251.293692529697,0.05564789225103994
19.52,11.16,H1,10183.493999706841,13.44629806863254,26.89259613726508,2272.0366485396107,2387.7665943162287,0.050936654499391665
8.77,4.58,H1,770.5825297292446,5.6873529796557,11.3747059593114,406.4716217644858,434.04535015029865,0.06783678591414533
13.94,7.79,H1,3543.4499135079127,9.45756271138525,18.9151254227705,1124.0052077821963,1185.8129701780172,0.054988857674223235
21.31,11.55,H1,11907.923267615492,14.166062038016621,28.332124076033242,2521.785497407586,2674.700912410656,0.06063775652618686
15.74,9.76,H1,6280.481962512382,11.445500476474233,22.891000952948467,1646.18803050727,1708.2171740567267,0.037680472947153154
11.16,4.98,H1,1159.341786157794,6.516898546252938,13.033797092505877,533.6933410561014,588.2653751408756,0.10225354128793152
16.74,9.36,H1,6143.215642604747,11.361501157173317,22.723002314346633,1622.1137218454883,1711.146154272639,0.05488667731992192
14.34,5.98,H1,2148.0289418507487,8.004186017608372,16.008372035216745,805.0895882949156,900.8686204195086,0.11896692432384026
21.33,11.95,H1,12758.95998296145,14.495801122701874,28.991602245403747,2640.5494684208184,2784.5415594056276,0.054531109038803205
14.21,7.41,H1,3268.2788476111637,9.206124234396217,18.412248468792434,1065.034133061158,1137.5956323205799,0.06813067957818708
13.0,5.63,H1,1726.031635147219,7.4413782518137905,14.882756503627581,695.8515923014029,772.0498790561923,0.10950364646400734
15.8,8.4,H1,4669.864382225699,10.369040076272931,20.738080152545862,1351.0983701118769,1438.0146806412622,0.06433011278237899
17.62,13.01,H1,12492.492762343327,14.394176789633184,28.788353579266367,2603.655550070886,2644.254329295163,0.015592991639455489
10.61,7.0,H1,2177.7101395663967,8.04088445176336,16.08176890352672,812.4890312615395,835.8949805506645,0.028807711105690803
14.4,8.01,H1,3870.046057220861,9.739631107015576,19.479262214031152,1192.0511202215503,1258.5982491755226,0.05582573416952474
14.0,9.2,H1,4963.548841063681,10.582003401335513,21.164006802671025,1407.1670513082377,1448.4560939211913,0.02934196233103048
25.8,15.8,H1,26978.791337450166,18.605640560076612,37.211281120153224,4350.098764458619,4522.336646588454,0.03959401647085814
13.0,9.61,H1,5028.966434328892,10.62828950971804,21.25657901943608,1419.5039840787056,1441.471702596644,0.01547563005411079
15.8,8.41,H1,4680.989725233807,10.377267841205345,20.75453568241069,1353.2433961028312,1439.9856089978032,0.06409949100418921
19.0,12.21,H1,11865.158337618503,14.14908350184435,28.2981670036887,2515.7442182184864,2597.3407945272193,0.03243436901010366
21.0,14.0,H1,17241.060482900783,16.025999395746645,32.05199879149329,3227.454349114093,3315.970760038154,0.027426076823784618
14.0,7.4,H1,3211.294122597439,9.15230515144694,18.30461030289388,1052.618133724403,1121.5220365077325,0.06545954375641605
13.4,9.8,H1,5390.70491098698,10.877246816341506,21.754493632683012,1486.7838347351508,1511.4143535696192,0.01656630793195024
18.0,10.21,H1,7859.819969761916,12.334115087205511,24.668230174411022,1911.7269250832028,2011.7555318258287,0.052323689869185896
8.8,4.2,H1,650.2342810694012,5.374364085575791,10.748728171151582,362.9644013965628,394.4600037328869,0.08677325438841876
9.2,4.6,H1,815.440166746176,5.795636829516416,11.591273659032831,422.09692777500123,454.4836915380197,0.07672826223526141
13.0,5.6,H1,1707.6859906873158,7.414919983125287,14.829839966250574,690.9121047456869,767.4794103269365,0.11082061676923849
13.01,6.4,H1,2232.1627367125384,8.10735297359797,16.21470594719594,825.9771385241379,892.2034661169471,0.08017937120044616
18.0,10.21,H1,7859.819969761916,12.334115087205511,24.668230174411022,1911.7269250832028,2011.7555318258287,0.052323689869185896
12.0,6.2,H1,1932.2051456638667,7.726596061120331,15.453192122240662,750.2159283516509,802.7173276238394,0.0699817176470019
15.8,11.02,H1,8037.276056168393,12.426250148492876,24.852500296985752,1940.3945583237414,1982.7106304332997,0.021807972985717905
10.81,6.0,H1,1630.109596094672,7.300894367183557,14.601788734367114,669.8259887535588,707.4849504696352,0.05622200742935313
12.61,7.0,H1,2588.211579635463,8.517334865527392,17.034669731054784,911.6272709122377,962.8587989393841,0.05619788883222032
13.0,9.6,H1,5018.505768550479,10.620915154094181,21.241830308188362,1417.5348439581294,1439.6199475395972,0.01557993701220095
12.01,6.6,H1,2191.389052859147,8.057685136710653,16.115370273421306,815.8878197691872,863.2523510024322,0.05805274951480999
15.8,7.8,H1,4026.5667377354234,9.869203349071324,19.738406698142647,1223.97926012366,1321.1927313589558,0.07942411640657565
15.4,9.2,H1,5459.903725170049,10.923591692890295,21.84718338578059,1499.4803573783345,1564.7601545562693,0.04353494652778833
10.81,5.2,H1,1224.3934299555538,6.636576839110551,13.273153678221101,553.4751392042872,600.5419657409951,0.08503873652640359
28.11,17.53,H1,36183.72608555981,20.51830868734388,41.03661737468776,5290.454486808459,5485.2435984992435,0.03681897503824749
15.34,7.77,H1,3879.32358245077,9.74740772109596,19.49481544219192,1193.9554679922405,1282.343753100445,0.07402980050574115
21.72,14.34,H1,18708.834486408283,16.468449328295247,32.93689865659049,3408.123153574097,3505.980913348944,0.02871309379539988
19.92,10.16,H1,8613.216412690907,12.716245876034579,25.432491752069158,2032.018686173007,2179.5521842286817,0.07260440027425696
15.14,9.36,H1,5556.050467684342,10.98733899751267,21.97467799502534,1517.0325960477219,1574.8842800914956,0.038134766645418816
